Time,P(ex),S,SB
67033,1.73372e-099,0.0494644,0.250853
67138,1.81316e-099,0.0258974,0.250853
67243,1.89624e-099,0.923681,0.250853
67358,1.9916e-099,0.0967542,0.250853
67463,2.08285e-099,0.106904,0.250853
67568,2.17828e-099,0.459833,0.250853
67673,2.27809e-099,0.449857,0.250853
67780,2.3845e-099,0.582577,0.250853
67885,2.49376e-099,0.106558,0.250853
67990,2.60802e-099,0.799249,0.250853
68100,2.73334e-099,0.812727,0.250853
68205,2.85858e-099,0.737784,0.250853
68310,2.98955e-099,0.761397,0.250853
68415,3.12653e-099,0.178139,0.250853
68520,3.26978e-099,0.475689,0.250853
68625,3.4196e-099,0.609137,0.250853
68730,3.57628e-099,0.936674,0.250853
68835,3.74014e-099,0.628915,0.250853
